SEQUENCE ID;PFAM;GBA_AA;GBA_AB;GBA_AC;GBA_AD;GBA_AE;GBA_AF;GBA_AG;GBA_AH;GBA_AI
gba_locus_10000_iso_1_len_2561_ver_2;not hit found;4,29;4,27;4,76;3,72;3,98;2,80;3,38;3,77;4,22
gba_locus_10001_iso_1_len_1633_ver_2;PF00249.24;4,48;5,24;5,25;6,47;6,99;4,33;2,04;4,95;4,15
gba_locus_10002_iso_4_len_2491_ver_2;PF01238.14;3,54;4,07;3,87;4,02;3,46;3,06;2,97;3,28;4,43
gba_locus_10003_iso_1_len_2950_ver_2;not hit found;3,57;3,50;3,32;2,75;3,26;3,95;3,52;3,51;4,47
gba_locus_10004_iso_6_len_2366_ver_2;not hit found;3,73;4,33;3,62;3,21;2,76;3,42;2,59;2,16;5,73
gba_locus_10005_iso_2_len_2037_ver_2;PF00150.11;3,41;2,17;3,39;1,10;3,63;4,21;3,57;1,10;-0,25
gba_locus_10006_iso_1_len_879_ver_2;not hit found;1,63;0,47;1,52;0,00;0,94;2,77;2,94;1,28;0,24
gba_locus_10007_iso_1_len_2701_ver_2;not hit found;4,02;2,93;3,13;2,68;2,96;1,83;1,96;4,82;1,93
gba_locus_10008_iso_1_len_1308_ver_2;not hit found;4,74;3,29;3,53;0,27;1,56;6,04;5,14;4,08;-0,18
gba_locus_10009_iso_1_len_425_ver_2;not hit found;0,47;0,00;0,00;0,00;0,00;0,00;0,00;1,43;0,00
gba_locus_1000_iso_8_len_3367_ver_2;PF01602.13;6,54;6,28;6,45;5,82;6,25;5,84;5,83;6,81;6,43
gba_locus_10010_iso_3_len_363_ver_2;not hit found;1,84;2,10;2,56;1,00;0,00;1,13;1,57;0,00;1,51
gba_locus_10011_iso_2_len_1244_ver_2;PF07189.4;4,45;4,23;4,00;4,03;3,62;3,44;3,63;3,36;4,40
gba_locus_10012_iso_1_len_5707_ver_2;PF05231.7;3,36;3,69;3,03;3,49;3,55;2,95;3,09;3,40;3,08
gba_locus_10013_iso_1_len_1585_ver_2;PF09439.3;4,48;4,82;4,40;3,69;4,20;4,46;4,30;4,71;3,82
gba_locus_10014_iso_1_len_1620_ver_2;PF00782.13;2,87;2,46;2,74;0,82;2,24;2,10;2,95;3,09;3,04
gba_locus_10015_iso_1_len_2605_ver_2;PF03291.9;3,70;4,60;4,19;3,84;3,97;3,89;3,96;4,06;3,55
